airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle
92.290634,609.302551,610.495972,7.149622,4.314548,7.149622,4.314548,610.000122,610,717.257568,74.898346,1076.911011,305.062805,289.35968,0.14734,0.382341,1081.815674,-0.020548,0.143043,0.1,0,1
92.281616,614.677002,615.870422,7.147027,4.313769,7.147027,4.313769,610.000122,610,722.64093,74.895988,1076.440308,305.405945,289.669647,0.147302,0.382375,1081.001099,-0.020545,0.142992,0.1,0,1
92.27739,618.258667,619.452087,7.145491,4.313128,7.145491,4.313128,620.000122,620,726.228516,74.894577,1076.146606,305.634735,289.87616,0.147264,0.382397,1080.533569,-0.020543,0.142957,0.1,0,1
92.271477,623.627869,624.82135,7.143091,4.311988,7.143091,4.311988,620.000122,620,731.608215,74.892708,1075.728882,305.977997,290.185669,0.147214,0.382438,1079.841919,-0.020539,0.14291,0.1,0,1
92.267677,627.205322,628.398743,7.141517,4.311195,7.141517,4.311195,630.000122,630,735.193481,74.891617,1075.46167,306.206909,290.391846,0.147187,0.382472,1079.392334,-0.020533,0.142862,0.1,0,1
92.264313,632.563965,633.757446,7.139547,4.310163,7.139547,4.310163,630.000122,630,740.569824,74.890244,1075.088989,306.550323,290.700928,0.147203,0.382524,1078.496948,-0.020529,0.14283,0.1,0,1
92.258232,636.138428,637.331848,7.138144,4.309537,7.138144,4.309537,640.000122,640,744.153076,74.889496,1074.865845,306.779175,290.906799,0.147173,0.382544,1078.16687,-0.020525,0.142791,0.1,0,1
92.253304,641.497192,642.690613,7.136242,4.308479,7.136242,4.308479,640.000122,640,749.52655,74.888634,1074.54895,307.122498,291.215393,0.147139,0.382571,1077.656982,-0.020522,0.142763,0.1,0,1
92.25013,645.067871,646.261353,7.134933,4.307764,7.134933,4.307764,640.000122,640,753.108093,74.888229,1074.350708,307.122498,291.42099,0.147122,0.382585,1077.315796,-0.020517,0.142725,0.1,0,1
92.24791,650.419006,651.612427,7.133237,4.30676,7.133237,4.30676,650.000122,650,758.479065,74.887886,1074.071533,307.122498,291.729218,0.147128,0.382599,1076.674438,-0.020513,0.142699,0.1,0,1
92.242401,653.986877,655.180298,7.132057,4.306156,7.132057,4.306156,650.000122,650,762.059021,74.887833,1073.902588,307.122498,291.93454,0.147107,0.382594,1076.395874,-0.020508,0.142665,0.1,0,1
92.238266,659.336304,660.529724,7.130486,4.305142,7.130486,4.305142,660.000122,660,767.427917,74.888016,1073.666382,307.122498,292.242401,0.147077,0.38258,1075.973145,-0.020506,0.142641,0.1,0,1
92.235619,662.901062,664.094482,7.1294,4.304427,7.1294,4.304427,660.000122,660,771.006592,74.888321,1073.521118,307.122498,292.447571,0.147059,0.382568,1075.694092,-0.020501,0.14261,0.1,0,1
92.234123,668.244934,669.438354,7.12798,4.303357,7.12798,4.303357,670.000122,670,776.373657,74.889038,1073.319214,307.122498,292.755157,0.147045,0.382552,1075.214111,-0.020497,0.142588,0.1,0,1
92.229134,671.806152,672.999573,7.126996,4.302708,7.126996,4.302708,670.000122,670,779.951172,74.889702,1073.195679,307.122498,292.960144,0.147035,0.382535,1074.918213,-0.020492,0.14256,0.1,0,1
92.225723,677.147949,678.34137,7.125685,4.301661,7.125685,4.301661,680.000122,680,785.316711,74.890961,1073.029297,307.122498,293.267548,0.147002,0.38251,1074.598022,-0.020489,0.14254,0.1,0,1
92.223549,680.707886,681.901367,7.124782,4.300929,7.124782,4.300929,680.000122,680,788.893311,74.891983,1072.928955,307.122498,293.472473,0.146983,0.382496,1074.384766,-0.020484,0.142514,0.1,0,1
92.222542,686.043762,687.237244,7.123611,4.299895,7.123611,4.299895,690.000122,690,794.257568,74.893784,1072.790405,307.122498,293.779785,0.146976,0.382479,1073.940063,-0.020481,0.142496,0.1,0,1
92.217903,689.598572,690.792053,7.122798,4.299355,7.122798,4.299355,690.000122,690,797.833435,74.895164,1072.706665,307.122498,293.98468,0.146988,0.382457,1073.608887,-0.020476,0.142472,0.1,0,1
92.215096,694.934937,696.128418,7.1217,4.298402,7.1217,4.298402,690.000122,690,803.196655,74.897514,1072.602661,307.122498,294.292023,0.146947,0.382422,1073.45813,-0.020473,0.142456,0.1,0,1
92.213387,698.491394,699.684814,7.120954,4.297693,7.120954,4.297693,700.000122,700,806.771912,74.899261,1072.540894,307.122498,294.496948,0.146925,0.382405,1073.337036,-0.020469,0.142434,0.1,0,1
92.213196,703.823181,705.016602,7.120003,4.296667,7.120003,4.296667,700.000122,700,812.134399,74.902145,1072.46106,307.122498,294.804382,0.146912,0.38239,1073.067871,-0.020465,0.142419,0.1,0,1
92.211494,707.375366,708.568848,7.119348,4.296078,7.119348,4.296078,710.000122,710,815.709167,74.904251,1072.415649,307.122498,295.00943,0.146921,0.382379,1072.82019,-0.02046,0.1424,0.1,0,1
